GenID,True,Predicted,PhotonPredicted
00,2,2,4
01,2,2,3
10,2,2,4
30,10,13,16
40,10,-20,-20
41,3,3,6
50,2,3,5
51,1,1,2
60,1,1,2
70,0,0,0
71,10,10,10
80,0,0,0
81,1,1,2
91,0,0,0
120,3,-20,-20
121,10,11,11
130,1,1,2
140,1,2,3
141,1,1,2
150,3,4,7
151,0,1,1
161,10,13,15
170,1,1,2
171,0,0,0
180,0,0,0
181,0,0,0
191,11,11,12
211,2,2,4
230,1,2,3
241,2,2,4
251,1,1,2
260,0,0,0
261,-1,-20,-20
270,10,13,15
271,11,12,13
300,10,10,10
301,10,-20,-20
310,1,1,2
311,10,-20,-20
321,1,1,2
331,1,2,4
341,1,1,2
350,10,10,10
360,1,1,2
371,0,0,0
381,1,-20,-20
390,0,0,0
391,0,0,0
401,1,1,2
410,1,1,2
420,11,11,12
421,0,1,2
431,1,1,2
441,11,-20,-20
451,10,10,10
460,1,1,2
461,-13,0,0
490,1,1,1
501,11,11,12
510,0,0,0
511,11,11,12
521,11,11,12
530,-13,0,0
550,0,-20,-20
551,1,2,3
561,1,-20,-20
580,1,1,2
581,1,2,3
590,1,-20,-20
591,2,4,7
600,0,0,0
601,0,-1,-1
610,1,1,2
621,1,-20,-20
630,0,-20,-20
631,2,3,5
660,10,10,10
661,1,2,4
671,10,10,10
680,0,0,0
690,1,1,1
691,0,0,0
701,1,1,2
711,1,1,2
720,1,1,2
721,10,-20,-20
730,10,10,10
740,1,1,2
750,11,11,11
751,1,1,2
760,-13,0,0
781,1,1,2
791,0,0,0
801,10,11,11
810,1,1,2
811,1,1,2
821,-13,0,0
830,1,1,2
831,0,-20,-20
840,10,10,10
841,1,1,2
851,0,0,0
861,3,3,6
871,2,2,4
890,1,1,2
901,1,2,4
911,10,10,10
920,10,10,10
941,1,1,2
950,1,0,0
951,2,2,4
960,-13,0,0
971,1,1,2
1020,2,2,3
1021,0,0,0
1030,0,0,0
1031,10,-20,-20
1040,1,1,2
1051,2,2,4
1071,0,0,0
1080,-13,0,0
1081,10,10,10
1090,2,2,3
1100,1,1,2
1101,2,2,4
1111,0,2,4
1120,1,2,3
1121,1,-1,-1
1131,1,1,2
1150,0,0,0
1151,1,1,2
1160,1,1,2
1191,1,1,2
1211,11,0,0
1231,10,10,10
1240,0,-20,-20
1250,2,2,4
1251,1,1,2
1261,2,-20,-20
1270,3,-20,-20
1280,1,1,2
1281,2,2,4
1290,0,0,0
1330,10,10,10
1331,1,-20,-20
1340,10,10,10
1341,0,0,0
1351,10,-20,-20
1360,1,1,2
1361,2,2,3
1370,10,10,10
1371,1,1,2
1380,1,1,2
1381,1,-20,-20
1390,-13,0,0
1400,1,1,2
1410,-13,0,0
1411,10,10,10
1441,11,-20,-20
1450,10,-20,-20
1471,0,0,0
1491,1,1,2
1500,11,-20,-20
1521,1,-20,-20
1530,2,2,4
1551,10,10,10
1560,-11,1,2
1561,1,1,2
1570,11,12,13
1571,10,10,10
1581,1,1,1
1591,1,1,2
1600,1,1,2
1601,0,0,0
1610,0,0,0
1621,1,-20,-20
1630,2,2,4
1631,1,2,3
1641,10,1,1
1650,11,11,12
1670,2,2,3
1671,1,-20,-20
1680,1,2,3
1681,10,10,10
1690,-11,0,0
1691,2,2,4
1720,1,2,3
1721,0,0,0
1730,0,0,0
1741,1,1,2
1750,0,0,0
1771,10,10,10
1790,0,-20,-20
1791,1,1,2
1800,0,1,1
1801,1,1,2
1820,1,1,1
1840,0,0,0
1841,0,-20,-20
1851,1,1,2
1860,10,10,10
1861,1,1,2
1871,1,1,2
1880,1,-20,-20
1891,1,1,2
1900,1,1,2
1901,1,1,2
1920,0,0,0
1921,10,10,10
1931,1,1,2
1940,1,1,2
1941,10,10,10
1950,1,1,2
1951,10,-20,-20
1981,0,-20,-20
1990,0,0,0
1991,1,1,2
2000,0,0,0
2010,1,1,2
2020,10,10,10
2021,10,11,11
2030,1,1,2
2040,1,1,1
2050,10,10,10
2051,0,0,0
2061,1,1,2
2070,10,10,10
2080,1,1,2
2091,2,2,4
2100,0,0,0
2110,10,13,16
2111,1,1,2
2130,1,1,2
2131,1,2,3
2140,10,10,10
2141,2,2,3
2150,0,0,0
2160,1,1,2
2161,10,10,10
2170,1,2,3
2181,10,-20,-20
2191,10,10,10
2200,1,1,2
2201,2,2,4
2210,10,-20,-20
2211,2,2,4
2221,1,1,2
2230,1,3,5
2240,1,1,1
2250,0,1,1
2281,0,0,0
2290,0,-20,-20
2291,1,2,3
2301,0,0,0
2310,0,0,0
2311,1,1,2
2330,-11,1,2
2331,-13,0,0
2340,2,2,4
2350,1,1,2
2360,1,1,2
2361,10,10,10
2380,0,-20,-20
2381,0,0,0
2390,1,1,2
2400,10,-20,-20
2401,1,1,2
2410,1,1,2
2421,1,1,2
2430,1,-20,-20
2431,2,2,4
2441,2,2,4
2461,1,1,2
2470,1,1,1
2471,1,1,2
2480,0,0,0
2481,1,1,2
2490,0,0,0
2491,10,10,10
2510,10,11,12
2511,0,0,0
2530,1,1,2
2531,11,12,13
2540,1,1,2
2541,0,0,0
2550,1,1,2
2560,1,1,2
2571,0,0,0
2581,-11,2,3
2590,0,0,0
2600,1,1,2
2601,1,1,2
2611,1,-20,-20
2620,11,11,12
2621,1,1,2
2631,2,2,4
2641,1,1,2
2650,1,1,1
2651,1,1,2
2661,1,1,2
2671,10,10,10
2681,3,3,5
2691,0,0,0
2700,10,11,11
2701,1,1,2
2710,2,2,3
2711,1,1,2
2720,1,1,2
2741,3,4,7
2750,1,2,3
2761,0,0,0
2770,3,2,4
2780,1,1,2
2781,0,0,0
2790,0,0,0
2791,0,0,0
2830,2,2,4
2831,1,1,2
2850,3,3,5
2851,1,1,2
2860,11,11,12
2861,1,2,3
2870,11,11,12
2871,11,11,12
2891,2,2,4
2900,0,0,0
2901,1,1,1
2910,11,2,3
2911,0,0,0
2920,0,0,0
2930,1,1,2
2940,10,10,10
2950,2,2,4
2951,1,1,2
2960,1,1,1
2970,2,2,4
2971,0,0,0
2980,11,-20,-20
2981,-13,0,0
3001,1,1,2
3011,1,1,2
3020,1,-20,-20
3031,1,1,1
3041,1,0,0
3051,1,1,1
3070,3,3,5
3071,1,1,2
3080,1,1,2
3081,1,-20,-20
3101,1,1,1
3110,1,1,2
3111,1,1,2
3131,11,11,12
3140,0,0,0
3141,11,11,11
3150,2,2,3
3161,10,10,10
3170,0,-20,-20
3171,2,2,3
3190,10,10,10
3200,0,0,0
3201,-13,0,0
3210,1,1,2
3211,0,0,0
3221,1,-20,-20
3230,0,0,0
3231,1,1,2
3240,2,2,4
3270,0,0,0
3280,0,0,0
3300,1,1,1
3310,1,1,2
3311,2,2,4
3321,0,0,0
3330,1,1,2
3381,10,10,10
3390,10,10,10
3391,0,0,0
