GenID,True,Predicted,PhotonPredicted,Countpions,Countphotons,Countneutrons
00,1,1,2,1,2,0
01,-13,-13,-13,0,0,0
10,2,2,4,1,4,0
11,1,1,2,1,2,0
20,-11,-2,-2,-999,-999,-999
21,1,-1,-1,2,2,0
30,10,10,10,3,0,0
31,10,10,10,3,0,0
40,10,-1,-1,2,0,0
41,-13,-13,-13,0,0,0
50,10,10,10,3,0,0
51,-11,-11,-11,0,0,0
60,2,2,3,1,3,0
61,10,10,10,3,0,0
70,1,1,2,1,2,0
71,-13,-13,-13,0,0,0
80,10,10,10,3,0,0
81,-11,-11,-11,0,0,0
90,2,2,4,1,4,0
91,12,2,4,1,4,0
100,1,1,1,1,1,0
101,2,-13,-13,0,0,0
110,12,12,14,3,4,0
111,-13,-13,-13,0,0,0
120,10,-13,-13,0,0,0
121,-11,-11,-11,0,0,0
130,11,1,2,1,2,0
131,1,1,1,1,1,0
140,2,3,5,1,5,0
141,-11,-11,-11,0,0,0
150,-11,-11,-11,0,0,0
151,10,10,10,3,0,0
160,1,1,2,1,2,0
161,0,0,0,1,0,0
170,-11,-11,-11,0,0,0
171,11,-11,-11,0,0,0
180,1,-20,-20,1,2,1
181,-11,-11,-11,0,0,0
190,0,-1,-1,2,0,0
191,-13,-13,-13,0,0,0
200,-13,-13,-13,0,0,0
201,1,2,3,1,3,0
210,-11,-11,-11,0,0,0
211,2,2,3,1,3,0
220,-13,-2,-2,-999,-999,-999
221,-13,-13,-13,0,0,0
230,-13,-13,-13,0,0,0
231,1,1,2,1,2,0
240,1,1,2,1,2,0
241,10,-1,-1,4,0,0
250,1,1,2,1,2,0
251,1,1,1,1,1,0
260,1,1,2,1,2,0
261,-11,-11,-11,0,0,0
270,1,1,2,1,2,0
271,0,0,0,1,0,0
280,2,2,4,1,4,0
281,-13,-13,-13,0,0,0
290,0,-13,-13,0,0,0
291,1,1,1,1,1,0
300,1,1,1,1,1,0
301,1,1,2,1,2,0
310,0,0,0,1,0,0
311,1,-11,-11,0,0,0
320,-13,-13,-13,0,0,0
321,10,-20,-20,1,0,1
330,0,0,0,1,0,0
331,-11,-11,-11,0,0,0
340,-11,-11,-11,0,0,0
341,-11,-11,-11,0,0,0
350,1,1,1,1,1,0
351,0,-20,-20,1,0,1
360,-13,-13,-13,0,0,0
361,1,1,2,1,2,0
370,11,-1,-1,2,2,0
371,10,-1,-1,2,3,0
380,-13,-13,-13,0,0,0
381,10,10,10,3,0,0
390,-11,-11,-11,0,0,0
391,0,0,0,1,0,0
400,0,0,0,1,0,0
401,1,1,2,1,2,0
410,-11,-11,-11,0,0,0
411,0,0,0,1,0,0
420,0,0,0,1,0,0
421,1,1,1,1,1,0
430,-13,0,0,1,0,0
431,0,0,0,1,0,0
440,1,12,13,3,3,0
441,2,2,4,1,4,0
450,1,-1,-1,2,4,0
451,-11,-11,-11,0,0,0
460,-13,-13,-13,0,0,0
461,-11,-11,-11,0,0,0
470,-13,-2,-2,-999,-999,-999
471,1,-11,-11,0,0,0
480,11,-1,-1,2,0,0
481,11,12,13,3,3,0
490,-13,-13,-13,0,0,0
491,0,0,0,1,0,0
500,1,2,3,1,3,0
501,0,0,0,1,0,0
510,-11,-11,-11,0,0,0
511,-11,-11,-11,0,0,0
520,11,11,12,3,2,0
521,-13,-13,-13,0,0,0
530,2,2,4,1,4,0
531,0,0,0,1,0,0
540,1,0,0,1,0,0
541,-13,-2,-2,-999,-999,-999
550,-11,-11,-11,0,0,0
551,-11,-11,-11,0,0,0
560,12,-1,-1,2,3,0
561,-13,-13,-13,0,0,0
570,1,1,2,1,2,0
571,1,1,2,1,2,0
580,-11,-11,-11,0,0,0
581,-13,-13,-13,0,0,0
590,-11,-11,-11,0,0,0
591,1,1,2,1,2,0
600,-11,-11,-11,0,0,0
601,-13,-13,-13,0,0,0
610,-13,-13,-13,0,0,0
611,-13,-13,-13,0,0,0
620,-13,-13,-13,0,0,0
621,0,0,0,1,0,0
630,-13,-13,-13,0,0,0
631,-13,-13,-13,0,0,0
640,2,3,5,1,5,0
641,-13,-13,-13,0,0,0
650,-13,-13,-13,0,0,0
651,10,10,10,3,0,0
660,10,10,10,3,0,0
661,-11,-11,-11,0,0,0
670,10,10,10,3,0,0
671,2,2,4,1,4,0
680,1,1,1,1,1,0
681,-11,-11,-11,0,0,0
690,2,2,4,1,4,0
691,-13,-13,-13,0,0,0
700,2,2,4,1,4,0
701,10,-1,-1,2,0,1
710,1,1,1,1,1,0
711,-13,-13,-13,0,0,0
720,10,-1,-1,2,0,1
721,-11,-2,-2,-999,-999,-999
730,10,-1,-1,2,0,0
731,10,-11,-11,0,0,0
740,2,3,5,1,5,0
741,0,0,0,1,0,0
750,-13,-13,-13,0,0,0
751,10,10,10,3,0,0
760,1,1,2,1,2,0
761,-13,-13,-13,0,0,0
770,10,10,10,3,0,0
771,-13,-13,-13,0,0,0
780,-13,-13,-13,0,0,0
781,-11,-11,-11,0,0,0
790,1,1,2,1,2,0
791,2,2,4,1,4,0
800,-13,-13,-13,0,0,0
801,0,0,0,1,0,0
810,1,1,2,1,2,0
811,1,1,2,1,2,0
820,11,11,12,3,2,0
821,2,-1,-1,2,3,0
830,0,0,0,1,0,0
831,2,0,0,1,0,0
840,-13,-13,-13,0,0,0
841,0,-1,-1,5,0,0
850,-13,-13,-13,0,0,0
851,-13,-13,-13,0,0,0
860,0,-1,-1,2,4,0
861,0,0,0,1,0,0
870,-11,-11,-11,0,0,0
871,2,12,13,3,3,0
880,0,0,0,1,0,0
881,11,-1,-1,2,1,0
890,10,-11,-11,0,0,0
891,-11,-11,-11,0,0,0
900,-13,-13,-13,0,0,0
901,10,10,10,3,0,1
910,-13,-13,-13,0,0,0
911,12,12,14,3,4,0
920,0,0,0,1,0,0
921,11,-20,-20,1,1,2
930,10,0,0,1,0,0
931,10,-11,-11,0,0,0
940,2,2,3,1,3,0
941,1,1,1,1,1,0
950,0,0,0,1,0,0
951,10,-1,-1,2,0,0
960,0,0,0,1,0,0
961,10,-13,-13,0,0,0
970,10,10,10,3,0,0
971,-13,-2,-2,-999,-999,-999
980,1,1,2,1,2,0
981,0,0,0,1,0,0
990,11,11,12,3,2,0
991,1,-2,-2,-999,-999,-999
1000,10,-1,-1,4,0,0
1001,1,1,1,1,1,0
1010,0,11,12,3,2,0
1011,-13,-13,-13,0,0,0
1020,-11,-11,-11,0,0,0
1021,0,0,0,1,0,0
1030,2,2,4,1,4,0
1031,-11,-11,-11,0,0,0
1040,-13,-13,-13,0,0,0
1041,1,1,1,1,1,0
1050,0,0,0,1,0,0
1051,0,0,0,1,0,0
1060,-11,-11,-11,0,0,0
1061,11,-20,-20,1,2,2
1070,1,-20,-20,1,0,1
1071,-13,-13,-13,0,0,0
1080,1,-11,-11,0,0,0
1081,-11,-11,-11,0,0,0
1090,0,0,0,1,0,0
1091,0,0,0,1,0,0
1100,-11,-11,-11,0,0,0
1101,11,11,11,3,1,0
1110,-11,0,0,1,0,0
1111,0,-2,-2,-999,-999,-999
1120,-11,-1,-1,2,0,0
