id,GenTauID,RecoTauID
00,1,1
01,-13,-13
10,2,1
11,1,1
20,-11,-11
21,1,1
30,10,10
31,10,10
40,10,10
41,-13,-13
50,10,10
51,-11,-11
60,2,1
61,10,10
70,1,0
71,-13,-13
80,10,10
81,-11,-11
90,2,1
91,12,11
100,1,1
101,2,1
110,12,11
111,-13,-13
120,10,10
121,-11,-11
130,11,10
131,1,1
140,2,2
141,-11,-11
150,-11,-11
151,10,10
160,1,1
161,0,0
170,-11,1
171,11,10
180,1,1
181,-11,-11
190,0,-333
191,-13,1
200,-13,-13
201,1,1
210,-11,-11
211,2,2
220,-13,1
221,-13,-13
230,-13,-13
231,1,1
240,1,10
241,10,10
250,1,1
251,1,1
260,1,1
261,-11,-11
270,1,1
271,0,0
280,2,1
281,-13,-13
290,0,-222
291,1,1
300,1,1
301,1,1
310,0,0
311,1,1
320,-13,-13
321,10,10
330,0,0
331,-11,-11
340,-11,-11
341,-11,-11
350,1,1
351,0,1
360,-13,-13
361,1,1
370,11,11
371,10,10
380,-13,-13
381,10,10
390,-11,-11
391,0,0
400,0,0
401,1,1
410,-11,-11
411,0,0
420,0,0
421,1,1
430,-13,-13
431,0,0
440,1,1
441,2,11
450,1,1
451,-11,-11
460,-13,-13
461,-11,-11
470,-13,1
471,1,-333
480,11,11
481,11,11
490,-13,-13
491,0,0
500,1,2
501,0,0
510,-11,-11
511,-11,-11
520,11,10
521,-13,-13
530,2,1
531,0,0
540,1,1
541,-13,-333
550,-11,-11
551,-11,-11
560,12,11
561,-13,-13
570,1,1
571,1,1
580,-11,-11
581,-13,-13
590,-11,-11
591,1,1
600,-11,-11
601,-13,-13
610,-13,-13
611,-13,-13
620,-13,-13
621,0,0
630,-13,-13
631,-13,-13
640,2,2
641,-13,-13
650,-13,-13
651,10,10
660,10,10
661,-11,-11
670,10,10
671,2,2
680,1,1
681,-11,-11
690,2,2
691,-13,-13
700,2,2
701,10,10
710,1,1
711,-13,-13
720,10,10
721,-11,-11
730,10,10
731,10,10
740,2,2
741,0,0
750,-13,-13
751,10,10
760,1,1
761,-13,-13
770,10,11
771,-13,-13
780,-13,-13
781,-11,-11
790,1,1
791,2,1
800,-13,-13
801,0,0
810,1,1
811,1,1
820,11,10
821,2,2
830,0,0
831,2,11
840,-13,-13
841,0,11
850,-13,-13
851,-13,-13
860,0,11
861,0,0
870,-11,-11
871,2,11
880,0,10
881,11,11
890,10,10
891,-11,-11
900,-13,-13
901,10,10
910,-13,-13
911,12,11
920,0,0
921,11,11
930,10,11
931,10,11
940,2,2
941,1,1
950,0,0
951,10,10
960,0,0
961,10,11
970,10,11
971,-13,-13
980,1,1
981,0,0
990,11,11
991,1,-11
1000,10,10
1001,1,0
1010,0,10
1011,-13,-13
1020,-11,-11
1021,0,0
1030,2,2
1031,-11,1
1040,-13,-13
1041,1,2
1050,0,0
1051,0,0
1060,-11,-11
1061,11,11
1070,1,1
1071,-13,-13
1080,1,1
1081,-11,-11
1090,0,1
1091,0,0
1100,-11,-11
1101,11,11
1110,-11,0
1111,0,-11
1120,-11,1
1121,1,1
1130,-11,-11
1131,10,10
1140,1,1
1141,1,1
1150,11,11
1151,0,0
1160,0,0
1161,-13,-13
1170,0,0
1171,-11,0
1180,-11,-11
1181,-13,-13
1190,0,0
1191,-11,-11
1200,1,1
1201,10,10
1210,10,10
1211,-13,-13
1220,1,1
1221,-13,-13
1230,1,1
1231,1,1
1240,1,1
1241,10,10
1250,10,10
1251,-13,-13
1260,2,2
1261,10,10
1270,2,1
1271,2,2
1280,10,10
1281,-13,-13
1290,0,0
1291,11,2
1300,2,2
1301,1,1
1310,-13,-13
1311,2,1
1320,0,0
1321,-11,-11
1330,10,10
1331,0,0
1340,-11,-11
1341,0,0
1350,0,0
1351,-11,-11
1360,2,1
1361,1,1
1370,-11,-11
1371,-11,-333
1380,10,10
1381,-13,-13
1390,1,1
1391,10,10
1400,1,2
1401,1,1
1410,-11,-11
1411,0,0
1420,0,0
1421,-13,-13
1430,0,0
1431,1,1
1440,1,1
1441,0,0
1450,11,10
1451,1,2
1460,1,1
1461,1,1
1470,10,10
1471,-11,-11
1480,1,1
1481,11,10
1490,0,0
1491,1,1
1500,1,1
1501,11,11
1510,1,1
1511,2,2
1520,1,-222
1521,0,0
1530,-11,-11
1531,0,0
1540,-13,-13
1541,-11,-11
1550,-11,-11
1551,0,1
1560,11,10
1561,0,0
1570,-13,-13
1571,10,10
1580,2,2
1581,-13,-13
1590,11,11
1591,-13,-13
1600,0,0
1601,2,1
1610,-11,-11
1611,1,1
1620,0,0
1621,11,10
1630,0,0
1631,-11,-11
1640,-13,-13
1641,-11,-11
1650,-11,-11
1651,0,0
1660,-11,-11
1661,0,0
1670,1,1
1671,2,1
1680,-13,-13
1681,1,1
1690,1,1
1691,1,1
1700,-13,-13
1701,-11,-11
1710,-13,-13
1711,-13,-13
1720,-11,-11
1721,-13,-13
1730,1,1
1731,1,1
1740,10,10
1741,10,1
1750,1,10
1751,1,1
1760,11,11
1761,-13,-13
1770,2,2
1771,0,0
1780,0,0
1781,1,11
1790,0,1
1791,11,11
1800,1,1
1801,2,1
1810,1,1
1811,-13,-13
1820,11,2
1821,1,1
1830,-11,-11
1831,2,2
1840,10,10
1841,-11,-11
1850,1,1
1851,-13,-13
