id,GenTauID,RecoTauID
00,2,2
01,2,11
10,2,2
11,-11,-11
20,-13,-13
21,-13,-13
30,10,11
31,-11,-11
40,10,10
41,3,2
50,2,11
51,1,1
60,1,1
61,-13,-13
70,0,0
71,10,10
80,0,0
81,1,1
90,-11,1
91,0,0
100,-13,-13
101,-11,1
110,10,-333
111,-13,-333
120,3,2
121,10,10
130,1,1
131,-11,-11
140,1,2
141,1,1
150,3,1
151,0,0
160,-11,-11
161,10,11
170,1,1
171,0,0
180,0,0
181,0,0
190,1,1
191,11,10
200,10,10
201,-13,-13
210,10,10
211,2,2
220,-13,-13
221,0,0
230,1,1
231,1,1
240,-11,-11
241,2,1
250,-11,-11
251,1,1
260,0,0
261,-1,10
270,10,11
271,11,11
280,-13,-333
281,1,-11
290,-11,-11
291,-11,-11
300,10,10
301,10,10
310,1,11
311,10,10
320,-11,-11
321,1,1
330,11,11
331,1,11
340,10,10
341,1,1
350,10,10
351,10,11
360,1,1
361,-11,-11
370,10,10
371,0,0
380,11,11
381,1,2
390,0,-11
391,0,0
400,11,11
401,1,1
410,1,1
411,-13,-13
420,11,11
421,0,1
430,0,1
431,1,1
440,1,1
441,11,11
450,-13,-13
451,10,10
460,1,1
461,-13,-11
470,-13,-13
471,-11,-11
480,10,10
481,-13,-13
490,1,1
491,-13,-13
500,2,1
501,11,11
510,0,0
511,11,11
520,1,1
521,11,11
530,-13,1
531,1,1
540,-11,-11
541,-13,-13
550,0,10
551,1,2
560,-11,-11
561,1,2
570,2,11
571,-13,-13
580,1,1
581,1,1
590,1,1
591,2,11
600,0,0
601,0,11
610,1,1
611,-11,-11
620,-13,-13
621,1,2
630,0,2
631,2,1
640,-13,-13
641,-11,-11
650,-11,-11
651,-11,-11
660,10,10
661,1,2
670,10,10
671,10,10
680,0,-222
681,1,1
690,1,1
691,0,0
700,-11,-11
701,1,1
710,-13,-13
711,1,1
720,1,1
721,10,11
730,10,10
731,-13,-13
740,1,1
741,-13,-13
750,11,11
751,1,1
760,-13,-13
761,-11,-11
770,-13,-13
771,-13,-13
780,-13,-13
781,1,1
790,-11,-11
791,0,0
800,-11,-11
801,10,11
810,1,1
811,1,1
820,-13,-13
821,-13,-13
830,1,1
831,0,1
840,10,11
841,1,1
850,-11,-11
851,0,0
860,-13,-13
861,3,2
870,-11,-11
871,2,1
880,-11,-11
881,10,10
890,1,1
891,-13,-13
900,-13,-13
901,1,1
910,-13,-13
911,10,10
920,10,10
921,1,1
930,-13,-13
931,-13,-13
940,-13,-13
941,1,2
950,1,1
951,2,1
960,-13,-13
961,-13,-13
970,10,10
971,1,1
980,-11,-333
981,0,0
990,-11,-11
991,-11,-11
1000,-11,1
1001,11,11
1010,1,1
1011,-11,-11
1020,2,1
1021,0,0
1030,0,0
1031,10,11
1040,1,1
1041,-13,-13
1050,-11,-11
1051,2,1
1060,-11,-11
1061,-11,-11
1070,0,0
1071,0,-13
1080,-13,-13
1081,10,10
1090,2,1
1091,2,2
1100,1,1
1101,2,2
1110,-11,-11
1111,0,1
1120,1,1
1121,1,1
1130,-13,-13
1131,1,1
1140,-13,-13
1141,1,1
1150,0,0
1151,1,1
1160,1,1
1161,-11,0
1170,11,11
1171,-13,-13
1180,-11,-11
1181,-13,-13
1190,-13,-13
1191,1,1
1200,1,11
1201,-13,-13
1210,-13,-13
1211,11,11
1220,1,1
1221,-11,-11
1230,-13,-13
1231,10,10
1240,0,1
1241,-11,10
1250,2,2
1251,1,1
1260,-13,-13
1261,2,2
1270,3,2
1271,-1,10
1280,1,1
1281,2,1
1290,0,0
1291,-11,-11
1300,-11,-11
1301,-11,-11
1310,-13,1
1311,11,11
1320,-11,-11
1321,-13,-13
1330,10,10
1331,1,1
1340,10,10
1341,0,10
1350,-13,-13
1351,10,11
1360,1,1
1361,2,1
1370,10,10
1371,1,1
1380,1,1
1381,1,1
1390,-13,-11
1391,-13,-13
1400,1,1
1401,-11,-11
1410,-13,-13
1411,10,10
1420,-13,-13
1421,-13,-13
1430,-11,-11
1431,-11,-13
1440,10,10
1441,11,11
1450,10,10
1451,0,0
1460,-13,-13
1461,-11,-11
1470,-11,-11
1471,0,0
1480,-11,-11
1481,10,10
1490,-13,-13
1491,1,1
1500,11,2
1501,-11,-11
1510,-11,-11
1511,10,11
1520,-13,-13
1521,1,11
1530,2,2
1531,-11,-11
1540,-11,-333
1541,11,11
1550,-13,-13
1551,10,10
1560,-11,-11
1561,1,1
1570,11,11
1571,10,10
1580,11,11
1581,1,-333
1590,-11,-11
1591,1,1
1600,1,1
1601,0,1
1610,0,0
1611,-13,-13
1620,10,10
1621,1,1
1630,2,1
1631,1,1
1640,1,1
1641,10,10
1650,11,10
1651,-11,-11
1660,-11,-11
1661,-11,-13
1670,2,2
1671,1,1
1680,1,11
1681,10,10
1690,-11,-11
1691,2,1
1700,-11,-333
1701,10,2
1710,-11,-11
1711,-11,-11
1720,1,1
1721,0,0
1730,0,0
1731,-11,-11
1740,-13,-13
1741,1,1
1750,0,0
1751,-13,-13
1760,-13,-13
1761,-13,-13
1770,-13,-13
1771,10,10
1780,-13,-13
1781,-13,-13
1790,0,0
1791,1,1
1800,0,10
1801,1,10
1810,-11,1
1811,-11,-11
1820,1,0
1821,-13,-13
1830,-13,-13
1831,-13,-13
1840,0,0
1841,0,0
1850,-11,-11
1851,1,1
1860,10,10
1861,1,1
1870,-11,-11
1871,1,1
1880,1,1
1881,10,10
1890,-13,-13
1891,1,1
1900,1,1
1901,1,1
1910,-13,-13
1911,-13,-13
1920,0,0
1921,10,10
1930,-13,-13
1931,1,1
1940,1,1
1941,10,10
1950,1,1
1951,10,11
